code,p17hong,p17yoo,p17the,p17han,p17kuk,p17jung,p17valid,p16the,p16han,p16kuk,p16jung,p16valid,r17han,r17the,r17hong,r17kuk,r17yoo,r17jung,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17
1103057,1862,659,3531,2521,1832,528,8451,1787,2350,2045,722,7431,0.298307893,0.417820376,0.220328955,0.216779079,0.077978937,0.062477813,0.257640974,0.338811577,0.29483816,0.104094451,0.160179402,-0.040503685,-0.07805908,-0.041616637,0.417820376,1,0.197491421,0.220328955,2,0.216779079,3,0.077978937,4,0.062477813,5
1103058,1260,417,2378,1677,1355,391,5820,1186,1483,1350,399,4814,0.28814433,0.408591065,0.216494845,0.232817869,0.071649485,0.067182131,0.267570887,0.334576413,0.304570571,0.090017524,0.141020178,-0.046432083,-0.071752702,-0.022835394,0.408591065,1,0.175773196,0.232817869,3,0.216494845,2,0.071649485,4,0.067182131,5
1103059,1546,571,3147,2117,1723,450,7469,1541,1892,1874,579,6358,0.283438211,0.421341545,0.206988887,0.230686839,0.076449324,0.060249029,0.260685997,0.320063534,0.317018532,0.097947561,0.160655548,-0.036625323,-0.086331693,-0.037698532,0.421341545,1,0.190654706,0.230686839,3,0.206988887,2,0.076449324,4,0.060249029,5
1103063,4854,1862,4860,6716,3329,723,15668,2275,5542,3557,1035,13195,0.428644371,0.310186367,0.309803421,0.212471279,0.11884095,0.046145009,0.182866628,0.445471143,0.285914987,0.083194268,0.127319739,-0.016826773,-0.073443708,-0.037049259,0.310186367,1,0.000382946,0.309803421,2,0.212471279,3,0.11884095,4,0.046145009,5
1103064,1439,432,2023,1871,1269,314,5494,1020,1722,1369,378,4897,0.340553331,0.368219876,0.261922097,0.23097925,0.078631234,0.057153258,0.226519009,0.382417385,0.304024042,0.08394528,0.141700868,-0.041864054,-0.073044792,-0.026792022,0.368219876,1,0.106297779,0.261922097,2,0.23097925,3,0.078631234,4,0.057153258,5
1103065,1219,306,1401,1525,822,294,4056,745,1300,785,278,3388,0.375986193,0.345414201,0.300542406,0.202662722,0.075443787,0.072485207,0.238876609,0.416831667,0.251702199,0.089137849,0.106537592,-0.040845474,-0.049039477,-0.016652642,0.345414201,1,0.044871795,0.300542406,2,0.202662722,3,0.075443787,4,0.072485207,5
1103066,1320,388,2031,1708,1087,398,5248,1063,1623,1012,404,4447,0.325457317,0.387004573,0.25152439,0.207126524,0.073932927,0.075838415,0.257956782,0.39385123,0.24558068,0.098038137,0.129047791,-0.068393913,-0.038454156,-0.022199723,0.387004573,1,0.135480183,0.25152439,2,0.207126524,3,0.075838415,5,0.073932927,4
1103069,2393,708,1928,3101,1678,358,7088,1029,2898,1557,304,6267,0.4375,0.272009029,0.337612867,0.236738149,0.099887133,0.050507901,0.17720473,0.499066382,0.268131938,0.052352029,0.0948043,-0.061566382,-0.031393789,-0.001844128,0.337612867,2,0.065603837,0.272009029,1,0.236738149,3,0.099887133,4,0.050507901,5
1103070,2180,573,3413,2753,2079,662,8948,1766,2551,1815,468,7195,0.307666518,0.381426017,0.243629861,0.232342423,0.064036656,0.073983013,0.266349718,0.384744128,0.273739942,0.070584183,0.115076299,-0.07707761,-0.041397519,0.00339883,0.381426017,1,0.137796156,0.243629861,2,0.232342423,3,0.073983013,5,0.064036656,4
1103071,2158,699,4874,2857,2327,700,10808,2671,2578,2468,829,9433,0.264341229,0.45096225,0.199666913,0.215303479,0.064674315,0.064766839,0.311097989,0.300266048,0.287454076,0.096555684,0.139864261,-0.03592482,-0.072150597,-0.031788845,0.45096225,1,0.235658771,0.215303479,3,0.199666913,2,0.064766839,5,0.064674315,4
1103072,1591,718,3519,2309,1732,563,8148,1659,1973,1881,683,6627,0.283382425,0.431885125,0.195262641,0.212567501,0.088119784,0.069096711,0.266931858,0.317454223,0.302651492,0.109894189,0.164953267,-0.034071798,-0.090083991,-0.040797478,0.431885125,1,0.219317624,0.212567501,3,0.195262641,2,0.088119784,4,0.069096711,5
1103073,2251,706,2709,2957,1890,405,7990,1337,2617,1800,511,6712,0.37008761,0.339048811,0.281727159,0.236545682,0.088360451,0.05068836,0.21263325,0.416201357,0.286267651,0.081268205,0.126415561,-0.046113748,-0.049721969,-0.030579845,0.339048811,1,0.057321652,0.281727159,2,0.236545682,3,0.088360451,4,0.05068836,5
1103074,2767,766,3846,3533,2223,693,10348,1937,2892,2049,701,8205,0.341418632,0.371666022,0.267394666,0.214824121,0.074023966,0.066969463,0.254265622,0.379626318,0.268967609,0.092018689,0.117400401,-0.038207686,-0.054143488,-0.025049226,0.371666022,1,0.104271357,0.267394666,2,0.214824121,3,0.074023966,4,0.066969463,5
1104052,1769,650,4308,2419,2230,662,9657,2185,2181,2219,604,7714,0.250491871,0.446101274,0.183183183,0.230920576,0.067308688,0.06855131,0.302740589,0.302186372,0.307451426,0.083686643,0.143360685,-0.051694501,-0.07653085,-0.015135333,0.446101274,1,0.215180698,0.230920576,3,0.183183183,2,0.06855131,5,0.067308688,4
1104054,2904,982,5848,3886,3244,859,13891,3193,3807,3122,934,11865,0.279749478,0.420992009,0.209056223,0.233532503,0.070693255,0.061838601,0.287679767,0.342999334,0.281282879,0.084150611,0.133312242,-0.063249856,-0.047750376,-0.022312011,0.420992009,1,0.187459506,0.233532503,3,0.209056223,2,0.070693255,4,0.061838601,5
