구분,No.,Korean,Scientific,Family,구분,수량
6. 야생화원 ②,32,일본매자나무,Berberis thunbergii,매자나무과,낙엽관목,30
6. 야생화원 ②,33,장수만리화,Forsythia velutina ,물푸레나무과,낙엽관목,30
6. 야생화원 ②,34,졸참나무,Quercus serrata,참나무과,낙엽교목,5
6. 야생화원 ②,35,서울족도리풀,Asarum heterotropoides var. seoulense,쥐방울덩굴과,다년초,
6. 야생화원 ②,36,한라개승마,Aruncus aethusifolius,장미과,다년초,
6. 야생화원 ②,37,한라구절초,Dendranthema coreanum,국화과,다년초,
6. 야생화원 ②,38,한라부추,Allium taquetii,백합과,다년초,
7. 상록수원,1,가는잎조팝나무,Spiraea thunbergii ,장미과,낙엽관목,30
7. 상록수원,2,가문비나무류 ,Picea sp. ,소나무과,상록교목,1
7. 상록수원,3,개잎갈나무,Cedrus deodara,소나무과,상록교목,2
7. 상록수원,4,고욤나무,Diospyros lotus,감나무과,낙엽교목,2
7. 상록수원,5,광나무,Ligustrum japonicum ,물푸레나무과,상록교목,20
7. 상록수원,6,구골나무,Osmanthus heterophyllus ,물푸레나무과,상록관목,2
7. 상록수원,7,구상나무,Abies koreana,소나무과,상록교목,1
7. 상록수원,8,구실잣밤나무,Castanopsis sieboldii ,참나무과,상록교목,5
7. 상록수원,9,굴거리나무,Daphniphyllum macropodum,굴거리나무과,상록교목,12
7. 상록수원,10,금목서,Osmanthus fragrans var. aurantiacus,물푸레나무과,상록관목,1
7. 상록수원,11,금빛향나무,Juniperus chinensis 'Aureo Variegata',측백나무과,상록교목,1
7. 상록수원,12,금송,Sciadopitys verticillata,낙우송과,상록교목,4
7. 상록수원,13,꽃댕강나무,Abelia x grandiflora,인동과,낙엽관목,30
7. 상록수원,14,꽝꽝나무,Ilex crenata,감탕나무과,상록관목,3
7. 상록수원,15,나한송,Podocarpus macrophyllus,나한송과,상록교목,3
7. 상록수원,16,낙우송,Taxodium distichum,낙우송과,낙엽교목,2
7. 상록수원,17,넓은잎호랑가시나무,Ilex latifolia,감탕나무과,상록교목,1
7. 상록수원,18,노랑잎댕강나무,Abelia mosanensis 'Aurea',인동과,낙엽관목,10
