,sector
4473,13
4474,25
4483,26
4484,63
4487,86
4488,46
4489,90
4491,44
4492,63
4493,88
4506,0
4510,48
4511,4
4512,6
4524,96
4525,96
4526,16
4527,47
4528,24
4529,22
4530,52
4531,86
4532,61
4533,17
4534,88
4554,16
4555,72
4567,63
4570,74
4571,44
4572,82
4576,94
4577,46
4578,13
4586,93
4587,14
4590,39
4591,2
4592,40
4594,66
4606,62
4607,9
4608,46
4609,2
4610,55
4611,92
4612,36
4613,61
4614,97
4615,47
4616,16
4617,12
4618,67
4619,2
4638,30
4639,6
4653,38
4654,77
4657,6
4658,16
4659,64
4660,86
4661,74
4662,22
4668,96
4669,56
4673,88
4674,61
4675,16
4676,2
4687,28
4688,78
4689,0
4690,77
4691,30
4692,22
4693,13
4694,72
4695,20
4696,39
4697,11
4698,19
4699,96
4700,80
4701,61
4702,60
4703,46
4721,35
4722,86
4723,52
4734,14
4735,40
4736,76
4741,13
4742,34
4747,69
4748,30
4752,14
4753,10
4754,37
4755,31
4766,42
4767,70
4768,94
4769,11
4770,14
4771,77
4772,35
4773,39
4774,66
4775,2
4777,54
4778,6
4779,61
4780,40
4781,83
4795,6
4799,39
4800,2
4801,62
4805,27
4806,66
4810,63
4811,42
4812,41
4818,39
4819,16
4820,41
4825,24
4826,88
4827,22
4828,77
4829,50
4837,78
4838,32
4839,70
4840,78
4841,53
4842,9
4843,13
4844,82
4849,37
4850,1
4851,37
4868,84
4869,30
4870,84
4873,35
4874,96
4875,20
4876,77
4879,33
4880,96
4883,84
4888,61
4889,77
4890,82
4892,36
4895,95
4896,5
4897,76
4898,33
4906,36
4908,59
4909,17
4911,20
4912,3
4919,64
4920,47
4921,45
4922,38
4934,65
4935,11
4936,46
4940,65
4941,31
4942,42
4943,1
4944,14
4945,42
4948,52
4949,52
4951,14
4952,10
4955,61
4957,5
4958,54
4959,61
4962,4
4965,95
4966,2
4967,86
4968,60
4979,10
4980,87
4981,81
4982,9
4983,50
4992,18
4993,40
4994,30
4995,28
4996,50
4997,83
5010,24
5011,81
5012,36
5013,2
5014,56
5018,13
5019,16
5020,39
5021,64
5022,38
5025,16
5026,40
5033,19
5037,18
5041,17
5042,10
5043,49
5044,11
5053,50
5054,54
5055,17
5056,11
5066,15
5067,84
5068,61
5069,12
5070,82
5071,59
5092,2
5093,28
5094,42
5098,0
5099,30
5100,27
5101,84
5102,60
5103,17
5104,77
5105,37
5108,55
5109,68
5119,35
5120,16
5121,21
5123,69
5124,34
5125,10
5126,8
5148,37
5149,79
5150,97
5151,12
5152,96
5153,48
5174,5
5175,26
5176,62
5180,47
5181,51
5182,79
5184,77
5187,10
5188,61
5200,54
5201,16
5203,47
5204,34
5205,97
5206,30
5220,39
5230,7
5232,86
5233,38
5257,27
5258,76
5263,77
5264,27
5265,84
5267,10
5268,60
5269,52
5270,24
5271,6
5272,97
5273,52
5285,37
5286,68
5287,94
5288,69
5289,52
5303,89
5315,97
5316,66
5319,42
5343,34
5344,69
5345,5
5351,11
5352,35
5353,14
5354,55
5355,42
5356,50
5357,44
5371,70
5372,97
5373,26
5374,2
5388,41
5397,84
